INFO id, ap, x, y
INFO 71, 75, 164, 55, 0
INFO 72, 10, 36, 20, 7
INFO 73, 75, 180, 55, 0
INFO 74, 12, 34, 40, 12
INFO 75, 27, 42, 193, 0
INFO 76, 32, 67, 106, 6
INFO 77, 73, 178, 36, 0
INFO 78, 38, 86, 41, 3
INFO 79, 53, 118, 169, 0
INFO 80, 34, 53, 132, 7
INFO 81, 9, 13, 190, 0
INFO 82, 74, 147, 28, 6
INFO 83, 61, 138, 136, 0
INFO 84, 76, 173, 96, 7
INFO 85, 15, 41, 126, 0
INFO 86, 56, 118, 49, 11
INFO 87, 5, 24, 110, 0
INFO 88, 20, 55, 36, 9
INFO 89, 15, 42, 116, 0
INFO 90, 34, 82, 139, 6
INFO 91, 21, 51, 58, 0
INFO 92, 76, 174, 78, 5
INFO 93, 35, 73, 168, 0
INFO 94, 26, 55, 154, 8
INFO 95, 73, 153, 22, 0
INFO 96, 50, 92, 105, 9
INFO 97, 21, 49, 51, 0
INFO 98, 72, 141, 184, 8
INFO 99, 65, 150, 50, 0
INFO 100, 18, 26, 191, 4
INFO 101, 29, 60, 33, 0
INFO 102, 14, 31, 90, 8
INFO 103, 3, 5, 67, 0
INFO 104, 80, 169, 156, 6
INFO 105, 45, 74, 192, 0
INFO 106, 62, 123, 159, 12
INFO 107, 37, 82, 26, 0
INFO 108, 4, 22, 67, 7
INFO 109, 75, 171, 65, 0
INFO 110, 58, 133, 84, 6
INFO 111, 67, 159, 78, 0
INFO 112, 28, 88, 7, 6
INFO 113, 5, 19, 98, 0
INFO 114, 72, 155, 179, 10
INFO 115, 63, 137, 193, 0
INFO 116, 64, 147, 14, 4
INFO 117, 59, 140, 97, 0
INFO 118, 10, 34, 13, 5
INFO 119, 21, 63, 67, 0
INFO 120, 42, 80, 114, 6
INFO 121, 33, 72, 128, 0
INFO 122, 42, 95, 118, 8
INFO 123, 33, 78, 114, 0
INFO 124, 8, 17, 162, 10
INFO 125, 33, 83, 126, 0
INFO 126, 34, 90, 144, 6
INFO 127, 63, 115, 187, 0
INFO 128, 8, 17, 164, 6
INFO 129, 9, 14, 179, 0
INFO 130, 76, 179, 74, 8
INFO 131, 39, 96, 50, 0
INFO 132, 50, 106, 116, 11
INFO 133, 39, 98, 64, 0
INFO 134, 80, 179, 170, 7
INFO 135, 31, 67, 86, 0
INFO 136, 70, 144, 143, 8
INFO 137, 67, 150, 90, 0
INFO 138, 36, 66, 162, 6
INFO 139, 59, 142, 99, 0
INFO 140, 28, 75, 16, 5
INFO 141, 27, 52, 198, 0
INFO 142, 54, 118, 186, 9
INFO 143, 45, 107, 187, 0
INFO 144, 18, 13, 182, 9
INFO 145, 41, 105, 99, 0
INFO 146, 48, 120, 70, 10
INFO 147, 59, 129, 87, 0
INFO 148, 62, 128, 155, 6
INFO 149, 9, 17, 189, 0
INFO 150, 80, 167, 147, 5
INFO 151, 45, 97, 182, 0
INFO 152, 62, 129, 147, 8
INFO 153, 41, 84, 96, 0
INFO 154, 38, 110, 43, 9
INFO 155, 11, 18, 39, 0
INFO 156, 44, 99, 172, 12
INFO 157, 7, 31, 142, 0
INFO 158, 10, 38, 13, 8
INFO 159, 25, 55, 134, 0
INFO 160, 6, 31, 124, 7
INFO 161, 65, 128, 37, 0
INFO 162, 20, 59, 37, 6
INFO 163, 75, 180, 62, 0
INFO 164, 64, 148, 2, 2
INFO 165, 77, 175, 111, 0
INFO 166, 68, 152, 88, 9
INFO 167, 9, 33, 181, 0
INFO 168, 10, 24, 17, 7
INFO 169, 9, 24, 168, 0
INFO 170, 24, 42, 136, 5
INFO 171, 75, 167, 49, 0
INFO 172, 60, 119, 133, 10
INFO 173, 19, 37, 21, 0
INFO 174, 74, 162, 47, 8
INFO 175, 11, 32, 40, 0
INFO 176, 64, 133, 8, 3
INFO 177, 81, 156, 176, 0
INFO 178, 10, 25, 18, 5
INFO 179, 5, 17, 101, 0
INFO 180, 24, 53, 131, 7
INFO 181, 11, 36, 24, 0
INFO 182, 30, 69, 42, 7
INFO 183, 3, 23, 59, 0
INFO 184, 30, 75, 42, 8
INFO 185, 45, 80, 198, 0
INFO 186, 14, 32, 84, 12
INFO 187, 29, 84, 42, 0
INFO 188, 16, 41, 133, 9
INFO 189, None, 112, 200, 0
INFO 190, 38, 96, 43, 6
INFO 191, 59, 112, 96, 0
INFO 192, 36, 77, 174, 7
INFO 193, None, 1, 37, 0
INFO 194, 72, 159, 185, 10
INFO 195, 59, 122, 96, 0
INFO 196, 74, 145, 48, 4
INFO 197, 33, 85, 121, 0
INFO 198, 28, 70, 19, 15
INFO 199, 65, 147, 38, 0
INFO 200, 12, 46, 55, 8
